appello,anno,insegnamento,docente,scritto_data,scritto_ora,scritto_aula,orale_data,orale_ora,orale_aula
1,1,Calcolo delle probabilità,Macci,null,null,NULL,28-01-2021,10:00,TEAMS
1,1,Inferenza statistica e teoria dell'informazione,Scalia Tomba,null,null,NULL,null,null,NULL
1,1,Sistemi di simulazione distribuita,Iazeolla-D'Ambrogio,null,null,NULL,null,null,NULL
1,1,Sistemi distribuiti cooperativi,Talamo,null,null,NULL,null,null,NULL
1,1,Statistical learning and high dimensional data,De Canditiis,null,null,NULL,null,null,NULL
1,2,Machine learning,Gambosi,--,,,04-02-2021,10:00,TEAMS
1,2,Sicurezza dei sistemi informativi,Talamo,,null,NULL,22-01-2021,09:30,ONLINE
1,2,Sistemi cooperativi e reti sociali,Talamo,null,null,NULL,null,null,NULL
1,2,Teoria spettrale,Longo,null,null,NULL,null,null,NULL
1,2,Web mining and retrieval,Basili,null,null,NULL,null,null,NULL
2,1,Calcolo delle probabilità,Macci,null,null,NULL,18-02-2021,10:00,TEAMS
2,1,Inferenza statistica e teoria dell'informazione,Scalia Tomba,null,null,NULL,null,null,NULL
2,1,Sistemi di simulazione distribuita,Iazeolla-D'Ambrogio,null,null,NULL,null,null,NULL
2,1,Sistemi distribuiti cooperativi,Talamo,null,null,NULL,null,null,NULL
2,1,Statistical learning and high dimensional data,De Canditiis,null,null,NULL,null,null,NULL
2,2,Machine learning,Gambosi,--,,,25-02-2021,10:00,TEAMS
2,2,Sicurezza dei sistemi informativi,Talamo,null,null,NULL,19-02-2021,09:30,ONLINE
2,2,Sistemi cooperativi e reti sociali,Talamo,null,null,NULL,null,null,NULL
2,2,Teoria spettrale,Longo,null,null,NULL,null,null,NULL
2,2,Web mining and retrieval,Basili,null,null,NULL,null,null,NULL
