appello,anno,insegnamento,docente,scritto_data,scritto_ora,scritto_aula,orale_data,orale_ora,orale_aula
1,1,Algoritmi distribuiti e reti complesse,Clementi-Guala',null,null,NULL,16-09-2021,15:00,13
1,1,Analisi di reti,Di Ianni,null,null,NULL,null,null,NULL
1,1,Bioinformatica,Ausiello,null,null,NULL,null,null,NULL
1,1,Calcolo delle probabilità,Macci,,,,07-09-2021,14:00,NULL
1,1,Economia  dell'ICT,Vatalaro,null,null,NULL,null,null,NULL
1,1,Elementi di analisi numerica,Di Fiore,null,null,NULL,null,null,NULL
1,1,Geometria algebrica,Pareschi,null,null,NULL,null,null,NULL
1,1,Inferenza statistica e teoria dell'informazione,Scalia Tomba,null,null,NULL,null,null,NULL
1,1,Logica matematica 1,Lipparini,null,null,NULL,null,null,NULL
1,1,Modellizzazione geometrica e simulazione numerica,Manni-Speleers,null,null,NULL,null,null,NULL
1,1,Service oriented software engineering,D'Ambrogio,null,null,NULL,null,null,NULL
1,1,Sicurezza informatica e Internet,Bianchi,null,null,NULL,null,null,NULL
1,1,Sistemi di simulazione distribuita,D'Ambrogio,null,null,NULL,null,null,NULL
1,1,Sistemi distribuiti cooperativi,Talamo-Arcieri,null,null,NULL,null,null,NULL
1,1,Teoria della sicurezza e crittografia,Talamo,null,null,NULL,null,null,NULL
1,2,Information retrieval,Croce-Gambosi,null,null,NULL,null,null,NULL
1,2,Intelligenza artificiale 2,Stellato,13-09-2021,10:00,ONLINE,null,null,NULL
1,2,Internet technology and protocols,Salsano,null,null,NULL,null,null,NULL
1,2,Machine learning,Gambosi,,,,07-09-2021,10:00,13/TEAMS
1,2,Metodi di verifica di sistemi,Intrigila,null,null,NULL,null,null,NULL
1,2,Modelli e qualità del SW,Iazeolla,null,null,NULL,null,null,NULL
1,2,Natural language processing,Zanzotto,null,null,NULL,null,null,NULL
1,2,Sicurezza dei sistemi informativi,Talamo-Dimitri,null,null,NULL,null,null,NULL
1,2,Sistemi cooperativi e reti sociali,Talamo,null,null,NULL,null,null,NULL
1,2,Teoria spettrale,Isola,null,null,NULL,null,null,NULL
1,2,Web mining and retrieval,Basili,null,null,NULL,null,null,NULL
2,1,Algoritmi distribuiti e reti complesse,Clementi-Guala',null,null,NULL,30-09-2021,15:00,13
2,1,Analisi di reti,Di Ianni,null,null,NULL,null,null,NULL
2,1,Bioinformatica,Ausiello,null,null,NULL,null,null,NULL
2,1,Calcolo delle probabilità,Macci,,,,29-09-2021,10:00,NULL
2,1,Economia  dell'ICT,Vatalaro,null,null,NULL,null,null,NULL
2,1,Elementi di analisi numerica,Di Fiore,null,null,NULL,null,null,NULL
2,1,Geometria algebrica,Pareschi,null,null,NULL,null,null,NULL
2,1,Inferenza statistica e teoria dell'informazione,Scalia Tomba,null,null,NULL,null,null,NULL
2,1,Logica matematica 1,Lipparini,null,null,NULL,null,null,NULL
2,1,Modellizzazione geometrica e simulazione numerica,Manni-Speleers,null,null,NULL,null,null,NULL
2,1,Service oriented software engineering,D'Ambrogio,null,null,NULL,null,null,NULL
2,1,Sicurezza informatica e Internet,Bianchi,null,null,NULL,null,null,NULL
2,1,Sistemi di simulazione distribuita,D'Ambrogio,null,null,NULL,null,null,NULL
2,1,Sistemi distribuiti cooperativi,Talamo-Arcieri,null,null,NULL,null,null,NULL
2,1,Teoria della sicurezza e crittografia,Talamo,null,null,NULL,null,null,NULL
2,2,Information retrieval,Croce-Gambosi,null,null,NULL,null,null,NULL
2,2,Intelligenza artificiale 2,Stellato,28-09-2021,10:00,ONLINE,null,null,NULL
2,2,Internet technology and protocols,Salsano,null,null,NULL,null,null,NULL
2,2,Machine learning,Gambosi,,,,30-09-2021,10:00,T5/TEAMS
2,2,Metodi di verifica di sistemi,Intrigila,null,null,NULL,null,null,NULL
2,2,Modelli e qualità del SW,Iazeolla,null,null,NULL,null,null,NULL
2,2,Natural language processing,Zanzotto,null,null,NULL,null,null,NULL
2,2,Sicurezza dei sistemi informativi,Talamo-Dimitri,null,null,NULL,null,null,NULL
2,2,Sistemi cooperativi e reti sociali,Talamo,null,null,NULL,null,null,NULL
2,2,Teoria spettrale,Isola,null,null,NULL,null,null,NULL
2,2,Web mining and retrieval,Basili,null,null,NULL,null,null,NULL
