appello,anno,insegnamento,docente,scritto_data,scritto_ora,scritto_aula,orale_data,orale_ora,orale_aula
1,1,Analisi Matematica,Fidaleo,25-01-2021,10:00,NULL,28-01-2021,10:00,NULL
1,1,Architettura dei sistemi di elaborazione,Simonetta,22-01-2021,16,ONLINE,02-02-2021,16,ONLINE
1,1,Matematica discreta,Brenti,21-01-2021,10:00,ONLINE,26-01-2021,10:00,ONLINE
1,2,Calcolo delle probabilità e statistica,Macci,09-02-2021,10:00,ONLINE,11-02-2021,10:00,ONLINE
1,3,Algoritmi e strutture dati 2,Pasquale,02-02-2021,14:30,NULL,04-02-2021,14:30,NULL
1,3,Calcolo numerico,Pelosi,01-02-2021,10:00,ONLINE,05-02-2021,10:00,ONLINE
1,3,Intelligenza artificiale 1,Basili,null,null,NULL,null,null,NULL
1,3,Lingua inglese,Monorchio,null,null,NULL,null,null,NULL
2,1,Analisi Matematica,Fidaleo,15-02-2021,10:00,NULL,18-02-2021,09:00,NULL
2,1,Architettura dei sistemi di elaborazione,Simonetta,22-02-2021,16,ONLINE,24-02-2021,16,ONLINE
2,1,Matematica discreta,Brenti,19-02-2021,10:00,ONLINE,25-02-2021,10:00,ONLINE
2,2,Calcolo delle probabilità e statistica,Macci,23-02-2021,10:00,ONLINE,25-02-2021,10:00,ONLINE
2,3,Algoritmi e strutture dati 2,Pasquale,16-02-2021,14:30,NULL,18-02-2021,14:30,NULL
2,3,Calcolo numerico,Pelosi,19-02-2021,10:00,ONLINE,23-02-2021,10:00,NULL
2,3,Intelligenza artificiale 1,Basili,null,null,NULL,null,null,NULL
2,3,Lingua inglese,Monorchio,null,null,NULL,null,null,NULL
