anno,ora,lunedì,martedì,mercoledì,giovedì,venerdì
1,9:30, X,X,X,Inferenza statistica e teoria dell'informazione(9:00),Sistemi distribuiti cooperativi(online)
1,10:30, X,X,X,Inferenza statistica e teoria dell'informazione(10:00),Sistemi distribuiti cooperativi(online)
1,11:30, Sistemi di simulazione distribuita(11:30),X,Sistemi distribuiti cooperativi(online),Calcolo delle probabilità(online),Sistemi di simulazione distribuita(11:30)
1,12:30, Sistemi di simulazione distribuita(12:30),X,Sistemi distribuiti cooperativi(online),Calcolo delle probabilità(online),Sistemi di simulazione distribuita(12:30)
1,13:30, X,X,X,X,X
1,14:30, X,Sistemi distribuiti cooperativi(online),Calcolo delle probabilità(online),X,X
1,15:30, X,Sistemi distribuiti cooperativi(online),Calcolo delle probabilità(online),X,X
1,16:30, X,X,X,X,X
1,17:30, X,Inferenza statistica e teoria dell'informazione(17:00),X,X,X
1,18:30, X,Inferenza statistica e teoria dell'informazione(18:00),X,X,X
2,9:30, Sicurezza dei sistemi informativi(online),Sicurezza dei sistemi informativi(online),Web mining and retrieval(online),X,X
2,10:30, Sicurezza dei sistemi informativi(online),Sicurezza dei sistemi informativi(online),Web mining and retrieval(online),X,X
2,11:30, Sistemi cooperativi e reti sociali(online),Machine learning(online),X,Web mining and retrieval(online),Sicurezza dei sistemi informativi(online)
2,12:30, Sistemi cooperativi e reti sociali(online),Machine learning(online),X,Web mining and retrieval(online),Sicurezza dei sistemi informativi(online)
2,13:30, X,X,X,X,X
2,14:30, Web mining and retrieval(14:00),X,X,Machine learning(14:00),Machine learning(14:00)
2,15:30, Web mining and retrieval(15:00),X,X,Machine learning(15:00),Machine learning(15:00)
2,16:30, X,X,Sistemi cooperativi e reti sociali(online),X,X
2,17:30, X,X,Sistemi cooperativi e reti sociali(online),X,X
2,18:30, X,X,X,X,X
