anno,insegnamento,link,codice,settore,CFU,semetre,docente,propedeuticità
1,Analisi matematica 1,http://www.informatica.uniroma2.it/f0?fid=220&srv=0&os=2007&cdl=0&id=AM1,AM1,,6,1,Liverani,
1,Analisi matematica 2,http://www.informatica.uniroma2.it/f0?fid=220&srv=0&os=2007&cdl=0&id=AM2,AM2,,3,2,Nicolò,
1,Elementi di algoritmi e strutture di dati,http://www.informatica.uniroma2.it/f0?fid=220&srv=0&os=2007&cdl=0&id=EASD,EASD,,6,2,Guala',
1,Elementi di matematica,http://www.informatica.uniroma2.it/f0?fid=220&srv=0&os=2007&cdl=0&id=EM,EM,,3,1,Piacentini Cattaneo,
1,Fondamenti di informatica,http://www.informatica.uniroma2.it/f0?fid=220&srv=0&os=2007&cdl=0&id=FO,FO,,6,2,Gambosi,
1,Geometria ed algebra,http://www.informatica.uniroma2.it/f0?fid=220&srv=0&os=2007&cdl=0&id=GA,GA,,6,2,Gavarini, Salvatore,
1,Laboratorio di programmazione dei calcolatori,http://www.informatica.uniroma2.it/f0?fid=220&srv=0&os=2007&cdl=0&id=LPR,LPR,,6,2,Vigliano, Vigliano,
1,Matematica discreta,http://www.informatica.uniroma2.it/f0?fid=220&srv=0&os=2007&cdl=0&id=MD,MD,,6,1,Piacentini Cattaneo,
1,Programmazione dei calcolatori,http://www.informatica.uniroma2.it/f0?fid=220&srv=0&os=2007&cdl=0&id=PR,PR,,6,1,Giammarresi,
1,Reti logiche,http://www.informatica.uniroma2.it/f0?fid=220&srv=0&os=2007&cdl=0&id=RL,RL,,6,2,Guala',
2,Algoritmi e strutture di dati,http://www.informatica.uniroma2.it/f0?fid=220&srv=0&os=2007&cdl=0&id=ASDL,ASDL,,6,1,Rossi,
2,Architettura dei calcolatori,http://www.informatica.uniroma2.it/f0?fid=220&srv=0&os=2007&cdl=0&id=AC,AC,,6,1,Nardelli,
2,Basi di dati,http://www.informatica.uniroma2.it/f0?fid=220&srv=0&os=2007&cdl=0&id=BD,BD,,6,1,Vigliano, Vigliano,
2,Fisica 1,http://www.informatica.uniroma2.it/f0?fid=220&srv=0&os=2007&cdl=0&id=FI1,FI1,,3,2,Goletti,
2,Laboratorio di basi di dati,http://www.informatica.uniroma2.it/f0?fid=220&srv=0&os=2007&cdl=0&id=LBD,LBD,,6,2,Romaniello,
2,Linguaggi di programmazione,http://www.informatica.uniroma2.it/f0?fid=220&srv=0&os=2007&cdl=0&id=LP,LP,,6,1,Di Ianni,
2,Metodologie di programmazione,http://www.informatica.uniroma2.it/f0?fid=220&srv=0&os=2007&cdl=0&id=MP,MP,,6,2,Di Ianni,
2,Reti di calcolatori,http://www.informatica.uniroma2.it/f0?fid=220&srv=0&os=2007&cdl=0&id=RC,RC,,6,2,Frasca,
2,Ricerca operativa,http://www.informatica.uniroma2.it/f0?fid=220&srv=0&os=2007&cdl=0&id=RO,RO,,6,2,Rossi,
2,Sistemi operativi,http://www.informatica.uniroma2.it/f0?fid=220&srv=0&os=2007&cdl=0&id=SO,SO,,6,2,Frasca,
2,Statistica per la ricerca sperimentale e tecnologica,http://www.informatica.uniroma2.it/f0?fid=220&srv=0&os=2007&cdl=0&id=ST,ST,,6,1,Macci,
3,Algoritmi e strutture di dati 2,http://www.informatica.uniroma2.it/f0?fid=220&srv=0&os=2007&cdl=0&id=ASD2,ASD2,,6,1,Clementi,
3,Analisi matematica 3,http://www.informatica.uniroma2.it/f0?fid=220&srv=0&os=2007&cdl=0&id=AM3,AM3,,6,2,Fidaleo,
3,Architettura dei sistemi software,http://www.informatica.uniroma2.it/f0?fid=220&srv=0&os=2007&cdl=0&id=ASS,ASS,,6,2,Bei,
3,Architetture software per applicazioni in tempo reale ad alta interattività,http://www.informatica.uniroma2.it/f0?fid=220&srv=0&os=2007&cdl=0&id=ASAT,ASAT,,3,2,Fabricatore,
3,Calcolo numerico,http://www.informatica.uniroma2.it/f0?fid=220&srv=0&os=2007&cdl=0&id=CN,CN,,6,1,Bertaccini, Bertaccini,
3,Fisica 2,http://www.informatica.uniroma2.it/f0?fid=220&srv=0&os=2007&cdl=0&id=FI2,FI2,,3,1,Goletti,
3,Ingegneria del software,http://www.informatica.uniroma2.it/f0?fid=220&srv=0&os=2007&cdl=0&id=IS,IS,,6,1,Intrigila,
3,Intelligenza artificiale,http://www.informatica.uniroma2.it/f0?fid=220&srv=0&os=2007&cdl=0&id=IA,IA,,6,1,De Luca,
3,Laboratorio di sistemi software,http://www.informatica.uniroma2.it/f0?fid=220&srv=0&os=2007&cdl=0&id=LSS,LSS,,6,2,Bianchi,
3,Linguaggi e traduttori,http://www.informatica.uniroma2.it/f0?fid=220&srv=0&os=2007&cdl=0&id=LT,LT,,6,2,Varricchio,
3,Metodologie di specifica del software,http://www.informatica.uniroma2.it/f0?fid=220&srv=0&os=2007&cdl=0&id=MSS,MSS,,6,2,Laurenzi,
