appello,anno,insegnamento,docente,scritto_data,scritto_ora,scritto_aula,orale_data,orale_ora,orale_aula
1,1,Analisi Matematica,Fidaleo,15-06-2021,10:00,ONLINE,18-06-2021,11:30,3PP2
1,1,Architettura dei sistemi di elaborazione,Simonetta,14-06-2021,16:00,ONLINE,14-06-2021,17:00,ONLINE
1,1,Fisica,Camarri,11-06-2021,10:00,4 PP2,17-06-2021,09:30,13
1,1,Geometria ed algebra,Arosio,22-06-2021,10:00,ONLINE,30-06-2021,10:00,3PP2
1,1,Logica e reti logiche,Pasquale,24-06-2021,14:30,13,01-07-2021,10:00,13
1,1,Matematica discreta,Brenti,25-06-2021,15:00,ONLINE,28-06-2021,10:00,3PP2
1,1,Programmazione dei calcolatori con laboratorio,Rossi,16-06-2021,10:00,ONLINE,21-06-2021,10:00,STUDIO
1,2,Algoritmi e strutture dati,Clementi-Guala',08-06-2021,09:30,ONLINE,09-06-2021,09:30,3PP2
1,2,Basi di dati e di conoscenza,Vigliano,14-06-2021,14:00,ONLINE,17-06-2021,10:30,6A
1,2,Calcolo delle probabilità e statistica,Macci,15-06-2021,10:00,ONLINE,17-06-2021,10:00,ONLINE
1,2,Fondamenti di informatica,Gambosi-Di Ianni,18-06-2021,10:00,ONLINE,23-06-2021,10:00,3PP2
1,2,Linguaggi e metodologie di programmazione,Zanzotto-Stellato,21-06-2021,10:00,ONLINE,null,null,NULL
1,2,Ricerca operativa,Caramia,16-06-2021,09:00,ONLINE,16-06-2021,13:00,ONLINE
1,2,Sistemi operativi e reti,Frasca,22-06-2021,10:00,ONLINE,25-06-2021,10:00,ONLINE
1,3,Algoritmi e strutture dati 2,Pasquale,22-06-2021,10:00,13,23-06-2021,15:30,13
1,3,Calcolo numerico,Pelosi,17-06-2021,10:00,ONLINE,21-06-2021,10:00,ONLINE
1,3,Ingegneria del software,Intrigila-D'Ambrogio,null,null,NULL,22-06-2021,14:30,3PP2
1,3,Intelligenza artificiale 1,Basili,null,null,NULL,null,null,NULL
1,3,Lingua inglese,Monorchio,null,null,NULL,null,null,NULL
1,3,Modelli e linguaggi di simulazione,Iazeolla,null,null,NULL,null,null,NULL
1,3,Programmazione Java per dispositivi mobili,Loreti,24-06-2021,10:00,C9,01-07-2021,10:00,C9
1,3,Programmazione Web,Loreti,24-06-2021,11:00,D1,24-06-2021,14:30,D1
2,1,Analisi Matematica,Fidaleo,09-07-2021,10:00,ONLINE,12-07-2021,11:30,13
2,1,Architettura dei sistemi di elaborazione,Simonetta,27-07-2021,16:00,ONLINE,27-07-2021,17:00,ONLINE
2,1,Fisica,Camarri,13-07-2021,09:30,18,21-07-2021,09:30,13
2,1,Geometria ed algebra,Arosio,26-07-2021,10:00,ONLINE,28-07-2021,10:00,13
2,1,Logica e reti logiche,Pasquale,15-07-2021,14:30,13,19-07-2021,10:00,13
2,1,Matematica discreta,Brenti,16-07-2021,15:00,ONLINE,20-07-2021,10:00,13
2,1,Programmazione dei calcolatori con laboratorio,Rossi,06-07-2021,10:00,ONLINE,08-07-2021,10:00,STUDIO
2,2,Algoritmi e strutture dati,Clementi-Guala',12-07-2021,09:30,ONLINE,13-07-2021,09:30,13
2,2,Basi di dati e di conoscenza,Vigliano,05-07-2021,14:00,13,08-07-2021,10:30,13
2,2,Calcolo delle probabilità e statistica,Macci,13-07-2021,10:00,ONLINE,15-07-2021,10:00,ONLINE
2,2,Fondamenti di informatica,Gambosi-Di Ianni,07-07-2021,10:00,ONLINE,12-07-2021,10:00,13
2,2,Linguaggi e metodologie di programmazione,Zanzotto-Stellato,08-07-2021,10:00,ONLINE,null,null,NULL
2,2,Ricerca operativa,Caramia,23-06-2021,09:00,ONLINE,23-06-2021,13:00,ONLINE
2,2,Sistemi operativi e reti,Frasca,06-07-2021,10:00,ONLINE,09-07-2021,10:00,ONLINE
2,3,Algoritmi e strutture dati 2,Pasquale,27-07-2021,15:30,13,28-07-2021,15:30,13
2,3,Calcolo numerico,Pelosi,08-07-2021,10:00,ONLINE,12-07-2021,10:00,ONLINE
2,3,Ingegneria del software,Intrigila-D'Ambrogio,,,,22-07-2021,15:00,13
2,3,Intelligenza artificiale 1,Basili,null,null,NULL,null,null,NULL
2,3,Lingua inglese,Monorchio,null,null,NULL,null,null,NULL
2,3,Modelli e linguaggi di simulazione,Iazeolla,null,null,NULL,null,null,NULL
2,3,Programmazione Java per dispositivi mobili,Loreti,15-07-2021,10:00,C9,15-06-2021,11:00,C9
2,3,Programmazione Web,Loreti,20-07-2021,10:00,D1,20-07-2021,12:00,D1
